MSOA code,March,April,May,June,July,5 month - March to July
E02000125,1,8,2,0,0,11
E02000126,0,6,2,0,0,8
E02000127,1,5,2,0,0,8
E02000128,0,3,4,0,1,8
E02000130,0,1,0,0,0,1
E02000131,2,6,0,0,0,8
E02000132,3,3,0,0,1,7
E02000133,2,8,2,0,0,12
E02000134,4,8,3,1,1,17
E02000135,4,10,7,0,0,21
E02000136,1,10,2,2,0,15
E02000137,2,9,2,0,0,13
E02000138,2,6,1,0,0,9
E02000139,0,6,1,0,0,7
E02000140,3,3,0,1,0,7
E02000141,1,6,0,0,0,7
E02000142,2,7,1,1,1,12
E02000144,2,2,0,0,0,4
E02000145,0,2,2,0,0,4
E02000146,2,10,3,0,1,16
E02000147,1,5,2,0,0,8
E02000148,0,5,1,0,0,6
E02000149,2,5,2,0,0,9
E02000150,0,5,0,0,0,5
E02000151,0,2,2,0,0,4
E02000152,0,2,1,1,0,4
E02000153,0,3,1,0,0,4
E02000154,0,1,3,0,0,4
E02000155,1,2,4,0,0,7
E02000156,1,10,5,1,0,17
E02000157,4,5,2,0,0,11
E02000158,1,4,1,1,0,7
E02000159,2,5,0,0,0,7
E02000160,3,5,4,0,0,12
E02000161,0,7,2,0,0,9
E02000162,0,9,4,1,0,14
E02000163,2,5,3,1,0,11
E02000165,0,3,1,0,0,4
E02000166,1,4,1,0,0,6
E02000167,0,2,0,0,0,2
E02000168,0,7,0,0,0,7
E02000169,1,5,1,0,0,7
E02000170,0,5,0,0,0,5
E02000171,1,5,0,0,0,6
E02000172,1,13,2,0,0,16
E02000173,0,0,0,0,0,0
E02000174,1,3,0,0,0,4
E02000175,0,4,0,0,0,4
E02000176,0,2,0,0,0,2
E02000177,1,11,1,0,1,14
E02000178,0,5,0,0,0,5
E02000179,1,4,0,0,1,6
E02000180,1,3,1,0,0,5
E02000181,0,1,0,0,0,1
E02000182,1,6,0,0,0,7
E02000183,1,5,0,0,0,6
E02000184,1,4,1,0,0,6
E02000185,3,9,1,0,0,13
E02000186,2,1,0,0,0,3
E02000187,4,4,2,0,0,10
E02000188,3,3,0,0,0,6
E02000189,0,3,0,0,0,3
E02000190,2,5,0,0,0,7
E02000191,0,2,0,0,0,2
E02000192,2,6,1,0,0,9
E02000193,1,0,0,0,0,1
E02000194,3,20,0,0,0,23
E02000195,0,19,4,0,0,23
E02000196,2,12,2,0,0,16
E02000197,2,5,2,0,0,9
E02000198,3,6,1,0,0,10
E02000199,3,8,2,0,0,13
E02000200,0,4,1,0,0,5
E02000201,2,4,0,0,0,6
E02000202,6,7,0,1,0,14
E02000203,5,12,2,0,0,19
E02000204,5,12,1,0,0,18
E02000206,1,3,1,0,0,5
E02000207,0,5,2,0,0,7
E02000208,0,6,2,0,0,8
E02000209,3,5,1,0,0,9
E02000210,2,1,2,0,0,5
E02000211,1,6,2,1,0,10
E02000212,0,2,1,0,0,3
E02000213,2,14,3,0,0,19
E02000214,1,9,3,0,0,13
E02000215,1,14,0,0,0,15
E02000216,1,8,2,0,0,11
E02000217,1,5,0,0,0,6
E02000218,0,3,1,0,0,4
E02000219,4,8,0,1,0,13
E02000220,1,19,3,0,0,23
E02000221,3,17,1,1,0,22
E02000222,0,3,1,0,0,4
E02000223,0,1,2,0,0,3
E02000224,1,5,1,0,0,7
E02000225,2,6,1,0,1,10
E02000226,1,6,4,1,0,12
E02000227,4,2,2,0,0,8
E02000228,7,11,3,2,0,23
E02000229,4,8,1,1,0,14
E02000230,4,7,3,0,0,14
E02000231,0,9,5,0,1,15
E02000232,0,5,1,1,0,7
E02000233,2,1,1,0,0,4
E02000234,2,8,1,1,0,12
E02000235,1,5,0,0,0,6
E02000236,2,5,1,1,0,9
E02000237,1,7,5,0,0,13
E02000238,3,2,0,0,0,5
E02000239,0,7,0,0,0,7
E02000240,2,10,0,0,0,12
E02000241,3,6,0,0,0,9
E02000242,1,10,0,0,0,11
E02000243,3,10,0,0,1,14
E02000244,1,2,0,0,0,3
E02000245,1,6,3,0,0,10
E02000246,0,4,0,0,0,4
E02000247,3,24,4,0,0,31
E02000248,2,3,1,0,0,6
E02000249,3,16,3,1,1,24
E02000250,1,9,3,1,0,14
E02000251,1,4,0,1,0,6
E02000252,0,0,0,0,0,0
E02000253,2,10,1,0,0,13
E02000254,4,8,2,1,0,15
E02000255,0,6,1,0,0,7
E02000256,1,2,0,0,0,3
E02000257,0,5,1,0,0,6
E02000258,1,5,1,0,0,7
E02000259,1,3,1,0,0,5
E02000260,1,11,4,2,0,18
E02000261,1,5,0,0,0,6
E02000262,9,15,3,1,0,28
E02000263,1,12,2,1,0,16
E02000264,1,5,0,0,0,6
E02000265,4,7,1,0,0,12
E02000266,5,17,1,1,0,24
E02000267,1,4,2,0,0,7
E02000268,0,7,1,1,0,9
E02000269,0,2,2,0,1,5
E02000270,2,7,0,0,0,9
E02000271,0,3,0,0,0,3
E02000272,1,4,0,0,0,5
E02000274,2,11,1,0,0,14
E02000275,3,19,2,0,1,25
E02000276,2,3,1,0,0,6
E02000277,1,4,2,0,0,7
E02000278,3,9,0,2,0,14
E02000279,1,3,0,1,0,5
E02000280,1,22,2,0,0,25
E02000281,2,3,1,1,0,7
E02000282,0,11,3,0,0,14
E02000283,1,2,0,0,0,3
E02000284,0,1,1,0,0,2
E02000285,1,4,1,0,0,6
E02000286,2,14,0,0,0,16
E02000287,2,16,0,0,0,18
E02000288,1,4,2,0,0,7
E02000289,0,3,0,0,0,3
E02000290,1,9,0,1,0,11
E02000291,1,11,5,0,0,17
E02000292,3,7,0,0,0,10
E02000293,2,1,1,0,0,4
E02000294,1,6,2,0,0,9
E02000295,2,5,0,0,0,7
E02000296,6,19,2,0,0,27
E02000297,1,5,0,0,1,7
E02000298,4,6,1,0,0,11
E02000299,2,7,0,0,0,9
E02000300,1,15,2,0,1,19
E02000301,1,7,0,0,0,8
E02000302,0,3,1,0,0,4
E02000303,1,7,0,0,0,8
E02000304,0,12,4,1,0,17
E02000305,1,9,0,1,0,11
E02000306,4,6,0,0,0,10
E02000307,4,5,0,0,0,9
E02000308,0,6,0,0,0,6
E02000309,2,15,0,1,0,18
E02000311,4,13,0,1,0,18
E02000312,4,5,0,0,0,9
E02000313,0,4,0,0,0,4
E02000314,2,9,1,0,0,12
E02000315,0,7,0,1,0,8
E02000316,6,0,0,0,0,6
E02000317,1,5,0,0,0,6
E02000318,0,6,0,0,0,6
E02000319,3,4,0,0,0,7
E02000320,5,4,0,0,0,9
E02000321,1,4,0,0,0,5
E02000323,2,8,1,0,0,11
E02000324,1,7,3,0,0,11
E02000326,4,1,0,0,0,5
E02000327,0,5,2,0,0,7
E02000328,0,10,0,0,0,10
E02000329,1,4,0,0,0,5
E02000331,4,4,1,0,0,9
E02000332,0,3,0,0,0,3
E02000333,4,0,0,0,0,4
E02000334,0,8,2,0,0,10
E02000335,1,2,0,0,0,3
E02000337,1,5,0,1,0,7
E02000339,0,8,0,0,0,8
E02000340,0,0,0,1,0,1
E02000341,2,6,0,0,0,8
E02000342,0,2,0,0,0,2
E02000343,1,5,1,0,0,7
E02000344,1,14,2,0,0,17
E02000345,2,6,0,0,0,8
E02000346,1,4,3,0,0,8
E02000347,0,6,0,0,0,6
E02000348,4,7,1,0,1,13
E02000350,3,7,1,0,0,11
E02000351,0,3,1,0,0,4
E02000352,0,10,1,0,1,12
E02000353,0,5,0,0,0,5
E02000354,1,6,0,0,0,7
E02000355,5,11,0,0,0,16
E02000356,1,3,0,0,0,4
E02000357,1,6,0,0,0,7
E02000358,2,9,1,0,0,12
E02000359,2,4,1,0,0,7
E02000360,1,6,0,0,0,7
E02000361,1,2,0,0,0,3
E02000362,0,0,1,0,0,1
E02000363,3,5,3,0,0,11
E02000364,5,2,1,0,0,8
E02000365,1,7,2,0,0,10
E02000366,2,4,0,0,0,6
E02000367,0,5,0,0,1,6
E02000368,2,5,1,0,0,8
E02000369,2,13,2,1,0,18
E02000370,4,5,0,0,0,9
E02000371,2,1,0,0,0,3
E02000372,0,10,1,0,0,11
E02000373,1,0,0,0,0,1
E02000374,4,7,1,0,0,12
E02000375,0,1,0,0,0,1
E02000376,2,2,1,0,0,5
E02000377,2,4,0,0,0,6
E02000378,1,5,0,0,0,6
E02000379,10,16,1,0,0,27
E02000380,0,2,1,0,0,3
E02000381,0,5,0,0,0,5
E02000382,1,0,0,0,0,1
E02000383,2,8,2,0,0,12
E02000384,4,15,1,0,0,20
E02000385,0,2,0,1,0,3
E02000386,2,3,0,0,0,5
E02000387,1,5,1,1,1,9
E02000388,5,11,0,1,0,17
E02000389,1,5,1,0,0,7
E02000390,0,0,0,0,0,0
E02000391,0,7,1,0,0,8
E02000392,1,1,0,0,0,2
E02000393,0,0,1,0,0,1
E02000394,2,2,0,0,0,4
E02000395,0,1,0,0,0,1
E02000396,0,2,1,0,0,3
E02000397,1,6,0,1,0,8
E02000398,1,7,1,0,0,9
E02000400,2,4,0,0,1,7
E02000401,2,3,3,0,0,8
E02000402,0,2,0,1,0,3
E02000403,3,2,0,0,0,5
E02000404,5,2,0,0,0,7
E02000405,1,7,0,0,0,8
E02000406,1,3,0,0,0,4
E02000407,2,5,1,0,0,8
E02000408,1,11,0,1,0,13
E02000409,3,4,0,0,0,7
E02000410,0,2,0,0,0,2
E02000411,1,5,2,1,0,9
E02000412,1,8,0,0,0,9
E02000413,0,5,1,0,0,6
E02000414,2,7,1,0,0,10
E02000415,2,3,1,0,0,6
E02000416,2,2,2,0,0,6
E02000417,2,4,0,0,0,6
E02000418,1,3,1,0,0,5
E02000419,2,3,1,0,0,6
E02000420,5,6,1,0,0,12
E02000421,2,16,5,1,0,24
E02000422,1,9,0,0,0,10
E02000423,1,2,1,1,0,5
E02000424,0,3,0,0,0,3
E02000425,1,12,0,0,0,13
E02000426,1,4,0,0,0,5
E02000427,1,3,2,0,0,6
E02000428,3,5,2,0,0,10
E02000429,2,5,0,0,0,7
E02000430,2,3,0,0,0,5
E02000431,1,1,0,0,0,2
E02000432,3,1,0,0,0,4
E02000433,11,13,2,3,0,29
E02000434,6,17,2,0,0,25
E02000435,3,9,0,1,0,13
E02000436,4,4,1,1,0,10
E02000437,2,13,5,0,1,21
E02000438,0,11,9,0,1,21
E02000439,3,6,2,0,0,11
E02000440,2,4,2,0,0,8
E02000441,5,5,3,0,0,13
E02000442,2,5,0,0,0,7
E02000443,3,15,1,0,0,19
E02000444,1,6,1,0,0,8
E02000445,6,15,5,0,1,27
E02000447,3,4,2,0,0,9
E02000448,1,5,0,0,0,6
E02000449,2,11,0,0,0,13
E02000451,3,1,1,0,0,5
E02000452,4,7,0,0,0,11
E02000453,1,4,0,1,0,6
E02000454,0,5,0,1,0,6
E02000455,4,10,4,0,0,18
E02000456,4,7,1,0,0,12
E02000457,3,5,1,1,0,10
E02000459,3,10,1,1,0,15
E02000460,3,7,0,0,0,10
E02000461,3,8,1,0,0,12
E02000462,1,5,2,0,0,8
E02000463,1,6,2,1,0,10
E02000464,1,5,2,1,0,9
E02000465,0,7,1,0,0,8
E02000466,0,8,2,0,0,10
E02000467,1,5,3,0,0,9
E02000468,0,12,0,0,0,12
E02000469,0,3,0,0,0,3
E02000470,1,9,0,0,0,10
E02000471,0,5,1,1,0,7
E02000472,1,5,2,0,0,8
E02000473,1,3,0,0,0,4
E02000474,2,4,0,0,0,6
E02000475,3,7,1,1,0,12
E02000476,4,2,2,0,0,8
E02000477,0,5,4,0,0,9
E02000478,3,4,0,0,0,7
E02000479,1,10,1,0,0,12
E02000480,3,11,1,0,0,15
E02000481,6,10,2,0,1,19
E02000482,0,5,0,0,0,5
E02000483,0,6,3,0,0,9
E02000484,1,8,1,0,0,10
E02000485,1,5,1,0,0,7
E02000486,1,7,2,0,0,10
E02000487,2,11,0,0,0,13
E02000488,0,5,3,0,0,8
E02000489,2,5,3,0,0,10
E02000490,0,7,1,0,0,8
E02000491,3,11,0,0,1,15
E02000492,2,3,2,0,0,7
E02000493,1,5,0,0,0,6
E02000494,1,4,3,0,0,8
E02000495,5,14,1,0,0,20
E02000496,3,23,0,0,0,26
E02000497,7,14,2,0,0,23
E02000498,1,4,0,0,0,5
E02000499,1,5,0,0,0,6
E02000500,1,7,0,0,0,8
E02000501,2,5,4,0,0,11
E02000502,3,9,2,0,0,14
E02000503,0,3,0,0,0,3
E02000504,2,1,0,0,0,3
E02000506,2,4,2,0,0,8
E02000507,0,7,1,0,0,8
E02000508,1,5,1,0,1,8
E02000509,1,5,0,0,0,6
E02000510,1,5,0,0,0,6
E02000511,0,10,0,1,0,11
E02000512,0,5,1,0,0,6
E02000513,3,5,1,0,0,9
E02000514,4,10,1,0,0,15
E02000515,1,5,0,1,0,7
E02000516,0,7,1,0,0,8
E02000517,3,6,2,1,0,12
E02000518,1,9,0,0,0,10
E02000519,1,3,0,0,0,4
E02000520,3,7,2,0,0,12
E02000521,2,6,0,0,1,9
E02000522,0,13,2,1,0,16
E02000523,0,4,2,0,0,6
E02000524,1,10,0,0,0,11
E02000525,2,5,0,1,0,8
E02000526,0,2,2,0,0,4
E02000528,1,9,1,0,0,11
E02000529,1,3,1,1,0,6
E02000530,2,5,2,0,0,9
E02000531,3,5,0,0,0,8
E02000532,1,3,0,0,0,4
E02000533,1,2,1,1,0,5
E02000534,1,3,0,0,0,4
E02000535,7,3,0,0,1,11
E02000536,1,6,0,0,0,7
E02000537,1,4,2,1,0,8
E02000538,1,5,0,0,0,6
E02000539,8,9,0,0,0,17
E02000540,6,9,2,2,0,19
E02000541,3,7,5,2,0,17
E02000542,2,12,0,1,0,15
E02000543,0,7,0,0,0,7
E02000544,1,1,1,1,0,4
E02000545,1,2,1,0,1,5
E02000546,0,4,3,0,0,7
E02000547,1,9,0,0,0,10
E02000548,2,4,0,0,1,7
E02000549,2,9,2,0,2,15
E02000550,0,1,0,1,0,2
E02000551,1,3,2,0,1,7
E02000552,1,1,2,0,0,4
E02000553,2,4,1,0,0,7
E02000554,1,0,0,0,0,1
E02000555,2,1,3,0,0,6
E02000556,4,5,1,0,1,11
E02000557,0,5,0,0,0,5
E02000558,0,6,1,0,0,7
E02000559,0,2,0,0,0,2
E02000560,0,2,0,0,0,2
E02000561,0,5,0,0,0,5
E02000562,1,5,1,0,0,7
E02000563,1,4,0,0,0,5
E02000564,1,4,0,0,0,5
E02000565,1,4,2,0,0,7
E02000566,1,1,1,0,0,3
E02000567,0,3,0,0,0,3
E02000568,1,11,0,0,0,12
E02000569,5,3,0,0,0,8
E02000570,1,2,1,0,0,4
E02000571,1,4,1,0,0,6
E02000572,2,5,1,1,0,9
E02000573,4,15,1,0,0,20
E02000574,0,6,2,1,0,9
E02000575,1,6,2,0,0,9
E02000576,3,2,1,0,0,6
E02000577,3,3,0,0,0,6
E02000578,5,8,0,0,0,13
E02000579,2,4,3,0,0,9
E02000580,1,6,0,0,0,7
E02000581,0,6,1,2,0,9
E02000582,1,6,1,0,0,8
E02000583,1,2,0,0,0,3
E02000584,1,0,0,0,0,1
E02000585,1,1,1,1,0,4
E02000586,0,0,0,0,0,0
E02000587,1,4,0,0,0,5
E02000588,1,1,0,0,0,2
E02000589,4,1,0,0,0,5
E02000590,1,3,0,0,0,4
E02000591,3,1,2,0,0,6
E02000592,1,3,0,0,0,4
E02000593,1,0,0,0,0,1
E02000594,2,12,1,0,1,16
E02000595,0,4,0,0,0,4
E02000596,1,11,2,0,0,14
E02000597,1,4,1,0,0,6
E02000598,0,2,0,0,0,2
E02000599,2,13,4,0,0,19
E02000600,3,4,3,1,0,11
E02000601,0,0,3,0,0,3
E02000602,0,2,1,0,0,3
E02000603,1,6,0,0,0,7
E02000604,2,2,0,0,0,4
E02000605,0,12,1,0,0,13
E02000606,1,3,0,0,0,4
E02000607,0,1,1,0,0,2
E02000608,0,0,0,0,0,0
E02000609,0,5,1,0,0,6
E02000610,1,7,4,0,0,12
E02000611,0,1,0,0,0,1
E02000612,1,9,4,0,0,14
E02000613,0,6,3,0,0,9
E02000614,1,4,1,1,0,7
E02000615,1,4,3,0,0,8
E02000616,0,1,0,0,0,1
E02000617,0,4,1,0,0,5
E02000619,2,5,2,0,0,9
E02000620,1,9,0,0,0,10
E02000621,4,5,0,0,0,9
E02000622,2,5,1,0,0,8
E02000623,1,4,1,0,0,6
E02000624,5,4,1,1,0,11
E02000625,1,7,1,0,0,9
E02000626,3,7,0,0,0,10
E02000627,1,3,1,0,0,5
E02000628,5,9,1,0,0,15
E02000629,0,2,0,0,0,2
E02000630,1,5,0,0,0,6
E02000631,2,3,1,0,0,6
E02000632,2,2,0,0,0,4
E02000633,1,6,1,0,1,9
E02000634,2,17,2,0,0,21
E02000635,3,5,1,0,0,9
E02000636,6,4,0,0,0,10
E02000637,3,3,1,0,0,7
E02000638,1,8,1,1,0,11
E02000639,2,4,1,0,0,7
E02000640,5,1,1,0,0,7
E02000641,3,4,2,0,0,9
E02000642,1,6,0,2,0,9
E02000643,2,8,4,0,0,14
E02000644,0,2,1,0,0,3
E02000645,1,2,1,0,0,4
E02000646,2,3,2,1,0,8
E02000647,5,9,1,0,0,15
E02000648,2,8,2,0,0,12
E02000649,3,5,1,0,0,9
E02000650,1,6,0,0,0,7
E02000651,1,4,1,0,0,6
E02000652,0,3,0,0,0,3
E02000653,1,12,1,0,0,14
E02000654,2,7,0,0,0,9
E02000655,6,10,2,0,0,18
E02000657,1,2,1,0,0,4
E02000658,2,2,1,0,0,5
E02000659,1,3,0,0,0,4
E02000660,1,4,0,0,0,5
E02000661,1,3,0,1,0,5
E02000662,1,3,0,0,0,4
E02000663,0,7,0,0,0,7
E02000664,3,8,4,2,0,17
E02000665,2,2,1,0,0,5
E02000666,1,10,1,0,0,12
E02000667,0,4,0,0,0,4
E02000668,1,5,0,0,0,6
E02000669,3,4,2,0,0,9
E02000670,2,6,1,1,0,10
E02000671,1,3,0,0,0,4
E02000672,3,4,0,0,0,7
E02000673,0,1,0,0,0,1
E02000674,1,9,0,0,0,10
E02000675,1,5,1,0,0,7
E02000676,1,5,1,0,0,7
E02000677,1,7,3,1,0,12
E02000678,2,3,0,0,0,5
E02000679,2,6,2,0,0,10
E02000680,2,4,2,0,0,8
E02000681,2,7,0,0,0,9
E02000682,1,4,1,1,0,7
E02000683,0,4,2,1,0,7
E02000685,2,11,0,1,0,14
E02000686,1,5,0,0,0,6
E02000687,1,12,3,0,0,16
E02000689,0,2,0,0,0,2
E02000690,0,5,1,0,0,6
E02000691,1,4,0,0,0,5
E02000692,2,8,3,0,0,13
E02000693,2,7,0,0,0,9
E02000694,1,2,0,0,0,3
E02000695,0,6,0,0,0,6
E02000696,3,4,0,0,0,7
E02000697,1,1,0,0,0,2
E02000698,1,2,0,0,0,3
E02000699,0,3,0,0,0,3
E02000700,0,9,2,0,0,11
E02000701,3,10,0,0,0,13
E02000702,2,4,1,0,0,7
E02000703,1,3,2,0,0,6
E02000704,2,15,2,1,0,20
E02000705,5,8,2,0,0,15
E02000706,0,6,0,0,0,6
E02000707,4,3,0,0,0,7
E02000708,1,4,2,1,0,8
E02000709,1,4,2,0,0,7
E02000710,2,14,3,0,0,19
E02000711,2,4,1,1,0,8
E02000712,1,7,2,1,0,11
E02000713,1,5,0,1,0,7
E02000714,2,4,0,0,0,6
E02000715,8,16,2,2,0,28
E02000716,2,15,1,0,0,18
E02000717,1,4,0,0,1,6
E02000718,0,1,1,0,0,2
E02000719,2,9,0,0,0,11
E02000720,1,3,2,2,0,8
E02000721,5,7,0,1,0,13
E02000722,1,6,0,0,0,7
E02000723,4,8,0,1,0,13
E02000724,1,11,2,0,1,15
E02000725,1,4,0,1,0,6
E02000726,1,4,1,0,0,6
E02000727,1,4,1,0,0,6
E02000728,2,4,0,0,0,6
E02000729,3,8,1,0,0,12
E02000730,0,4,2,0,0,6
E02000731,2,6,0,0,0,8
E02000732,2,5,1,0,0,8
E02000733,1,3,1,0,0,5
E02000734,1,6,2,0,0,9
E02000735,0,8,0,0,0,8
E02000736,2,3,0,0,0,5
E02000737,3,7,1,0,0,11
E02000738,0,5,0,0,0,5
E02000739,1,2,2,0,1,6
E02000740,1,3,0,0,0,4
E02000741,3,4,0,0,0,7
E02000742,0,7,1,0,0,8
E02000743,1,10,0,0,0,11
E02000744,3,7,0,0,0,10
E02000745,2,4,1,0,0,7
E02000746,2,6,0,0,0,8
E02000747,1,4,0,0,0,5
E02000748,1,2,1,0,0,4
E02000749,2,5,0,0,0,7
E02000750,1,3,0,0,0,4
E02000751,5,7,0,0,0,12
E02000752,1,3,3,0,0,7
E02000753,1,2,0,0,0,3
E02000754,1,4,0,0,0,5
E02000755,0,4,2,0,0,6
E02000756,3,11,1,1,0,16
E02000757,0,5,2,0,0,7
E02000758,1,4,2,0,0,7
E02000759,5,7,0,1,0,13
E02000760,3,7,1,0,0,11
E02000762,0,6,2,0,0,8
E02000763,1,6,0,0,0,7
E02000764,2,10,4,0,0,16
E02000765,0,0,0,0,0,0
E02000767,2,10,5,3,0,20
E02000768,0,1,2,0,0,3
E02000769,5,14,1,0,0,20
E02000770,2,5,2,0,0,9
E02000772,2,5,1,0,0,8
E02000773,1,6,1,0,0,8
E02000774,1,1,0,0,0,2
E02000776,2,4,0,0,0,6
E02000777,0,5,0,0,0,5
E02000779,3,9,1,0,0,13
E02000780,1,14,0,0,0,15
E02000781,6,10,4,1,0,21
E02000782,2,14,4,0,0,20
E02000783,0,0,0,0,0,0
E02000784,1,6,0,0,0,7
E02000785,1,5,2,0,0,8
E02000786,0,4,0,0,0,4
E02000787,0,2,1,0,0,3
E02000788,1,6,1,0,0,8
E02000789,1,5,0,0,0,6
E02000790,0,4,0,0,0,4
E02000791,1,1,0,1,1,4
E02000792,2,10,1,2,0,15
E02000793,2,9,0,0,0,11
E02000794,2,2,1,1,0,6
E02000795,0,2,0,0,0,2
E02000796,1,10,1,0,0,12
E02000797,0,2,0,0,0,2
E02000798,0,4,1,0,1,6
E02000799,0,6,1,0,0,7
E02000800,1,2,0,0,0,3
E02000801,0,1,0,0,0,1
E02000802,1,13,5,0,0,19
E02000803,1,4,2,0,0,7
E02000804,3,5,0,0,1,9
E02000805,1,2,0,0,0,3
E02000806,2,3,1,0,0,6
E02000807,2,0,1,0,0,3
E02000808,0,2,0,0,0,2
E02000809,0,2,0,0,0,2
E02000810,1,0,0,0,0,1
E02000812,11,10,3,0,0,24
E02000813,0,4,0,0,0,4
E02000814,5,9,1,0,0,15
E02000815,0,3,1,0,0,4
E02000816,3,6,0,0,0,9
E02000817,2,8,2,1,0,13
E02000818,2,3,2,0,0,7
E02000819,2,6,0,0,0,8
E02000820,1,2,1,0,0,4
E02000821,1,6,0,0,0,7
E02000822,1,6,1,0,0,8
E02000823,0,2,0,1,0,3
E02000824,0,8,2,0,0,10
E02000825,5,6,1,0,0,12
E02000826,4,8,2,0,0,14
E02000827,2,0,0,0,1,3
E02000828,2,6,0,0,2,10
E02000829,4,18,3,1,0,26
E02000830,0,6,1,1,0,8
E02000831,2,4,0,0,0,6
E02000832,3,2,2,0,0,7
E02000833,2,1,2,0,0,5
E02000834,2,5,1,0,0,8
E02000835,1,2,1,0,0,4
E02000836,2,2,1,0,0,5
E02000837,2,1,0,0,0,3
E02000838,1,3,0,0,0,4
E02000839,1,1,1,0,0,3
E02000840,0,2,0,1,0,3
E02000841,0,5,0,1,0,6
E02000842,0,13,1,0,0,14
E02000843,3,5,0,0,0,8
E02000844,1,0,0,0,0,1
E02000845,0,0,3,0,0,3
E02000846,0,2,2,0,0,4
E02000847,2,5,1,0,0,8
E02000848,0,4,2,0,0,6
E02000849,1,4,0,0,0,5
E02000850,3,7,1,0,0,11
