MSOA code,March,April,May,June,July,5 month - March to July
E02000001,1,2,1,0,0,4
E02000002,1,7,0,0,0,8
E02000003,1,7,2,0,0,10
E02000004,6,6,1,1,0,14
E02000005,4,2,1,0,0,7
E02000007,6,5,3,0,0,14
E02000008,1,10,0,0,0,11
E02000009,2,5,0,0,0,7
E02000010,3,4,0,0,0,7
E02000011,1,8,1,2,0,12
E02000012,0,6,0,1,1,8
E02000013,2,2,0,0,0,4
E02000014,1,3,2,0,0,6
E02000015,1,3,0,0,0,4
E02000016,0,1,0,0,0,1
E02000017,0,5,1,0,0,6
E02000018,4,7,2,0,0,13
E02000019,3,3,2,0,0,8
E02000020,1,5,0,0,0,6
E02000021,1,5,0,0,0,6
E02000022,1,2,1,0,0,4
E02000023,1,2,1,0,0,4
E02000024,1,9,2,0,1,13
E02000025,3,12,0,0,1,16
E02000026,0,5,2,0,0,7
E02000027,1,11,2,0,0,14
E02000028,1,5,3,0,0,9
E02000029,1,7,1,0,0,9
E02000030,4,5,1,0,0,10
E02000031,4,11,1,0,0,16
E02000032,2,3,1,0,0,6
E02000033,0,11,0,0,0,11
E02000034,1,9,0,0,0,10
E02000035,1,22,1,0,0,24
E02000036,6,6,0,0,0,12
E02000037,6,8,0,0,0,14
E02000038,4,22,3,0,0,29
E02000039,2,5,0,0,0,7
E02000040,3,9,0,0,1,13
E02000041,2,10,5,0,1,18
E02000042,6,12,3,0,0,21
E02000043,1,6,0,0,0,7
E02000044,2,3,0,0,0,5
E02000045,1,3,1,0,0,5
E02000046,2,2,1,0,0,5
E02000047,2,7,2,0,0,11
E02000048,0,4,1,0,0,5
E02000049,1,6,0,0,0,7
E02000050,2,5,0,0,0,7
E02000051,2,9,1,0,0,12
E02000052,2,3,2,0,0,7
E02000053,0,5,0,0,0,5
E02000054,4,5,0,0,0,9
E02000055,2,8,4,0,0,14
E02000056,3,8,4,0,0,15
E02000057,2,10,0,1,0,13
E02000058,1,7,0,0,0,8
E02000059,7,11,1,2,0,21
E02000060,1,11,0,0,0,12
E02000061,5,9,4,0,0,18
E02000062,1,3,0,0,0,4
E02000063,2,4,2,0,0,8
E02000064,0,0,0,0,0,0
E02000065,0,3,1,0,0,4
E02000066,2,3,4,0,0,9
E02000067,3,2,1,0,0,6
E02000068,1,4,0,0,0,5
E02000069,2,3,0,1,0,6
E02000070,1,2,1,0,0,4
E02000071,0,4,2,1,1,8
E02000072,0,1,1,3,0,5
E02000073,2,11,2,0,0,15
E02000074,2,7,1,0,3,13
E02000075,1,3,0,0,2,6
E02000077,0,10,0,0,0,10
E02000078,1,4,0,0,0,5
E02000079,5,19,2,1,0,27
E02000080,0,3,0,0,0,3
E02000081,1,4,1,0,0,6
E02000082,0,6,2,0,0,8
E02000083,2,2,0,3,1,8
E02000084,1,4,2,0,1,8
E02000085,0,2,2,0,0,4
E02000086,0,5,1,0,0,6
E02000087,1,2,2,0,1,6
E02000088,0,2,0,0,0,2
E02000089,1,11,3,2,0,17
E02000090,3,7,7,1,0,18
E02000091,2,9,4,0,2,17
E02000092,2,6,0,1,0,9
E02000093,2,16,1,0,0,19
E02000094,2,6,2,0,0,10
E02000095,2,5,0,1,0,8
E02000096,4,4,0,0,0,8
E02000097,3,8,0,0,0,11
E02000098,3,20,2,2,0,27
E02000099,3,3,1,1,0,8
E02000100,1,8,6,0,0,15
E02000101,2,22,3,0,1,28
E02000102,3,7,0,0,0,10
E02000103,0,6,0,0,1,7
E02000104,5,11,1,1,0,18
E02000105,4,3,0,1,0,8
E02000106,4,11,3,1,0,19
E02000107,0,4,1,0,0,5
E02000108,2,6,0,0,0,8
E02000109,2,18,2,1,0,23
E02000110,3,2,0,0,0,5
E02000111,1,16,0,0,0,17
E02000112,2,15,3,0,0,20
E02000113,2,10,1,0,0,13
E02000114,1,7,1,0,0,9
E02000115,1,5,1,0,0,7
E02000116,2,11,0,0,0,13
E02000117,9,25,2,0,0,36
E02000118,3,19,1,2,0,25
E02000119,5,20,2,0,1,28
E02000120,1,3,2,0,0,6
E02000121,6,14,3,0,0,23
E02000122,3,9,0,0,0,12
E02000123,5,12,2,0,0,19
E02000124,2,4,1,0,0,7
